Datum	Wtag	Sonntag	Losungsvers	Losungstext	Lehrtextvers	Lehrtext
21.01.2017	Samstag		Richter 6,23-24	Der HERR sprach zu Gideon: Friede sei mit dir! Fürchte dich nicht, du wirst nicht sterben. Da baute Gideon dem HERRN dort einen Altar und nannte ihn: »Der HERR ist Friede«.	Johannes 14,27	/Jesus spricht:/ Frieden lasse ich euch, meinen Frieden gebe ich euch. Nicht gebe ich euch, wie die Welt gibt. Euer Herz erschrecke nicht und fürchte sich nicht.
22.01.2017	Sonntag	3. Sonntag nach Epiphanias	Jesaja 66,13	Ich will euch trösten, wie einen seine Mutter tröstet.	2.Thessalonicher 2,16-17	Unser Herr Jesus Christus, und Gott, unser Vater, der uns geliebt und uns einen ewigen Trost gegeben hat und eine gute Hoffnung durch Gnade, der tröste eure Herzen und stärke euch in allem guten Werk und Wort.
23.01.2017	Montag		2.Mose 34,21	Sechs Tage sollst du arbeiten; am siebenten Tage sollst du ruhen.	1.Korinther 7,23	Christus hat für euch bezahlt und euch freigekauft, sodass ihr jetzt ihm gehört. Darum macht euch nicht zu Sklaven menschlicher Maßstäbe!
24.01.2017	Dienstag		Psalm 135,6	Alles, was der HERR will, das tut er im Himmel und auf Erden, im Meer und in allen Tiefen.	Matthäus 8,27	Die Menschen verwunderten sich und sprachen: Was ist das für ein Mann, dass ihm Wind und Meer gehorsam sind?
25.01.2017	Mittwoch		Psalm 33,12	Wohl dem Volk, dessen Gott der HERR ist, dem Volk, das er zum Erbe erwählt hat!	Kolosser 1,12	Mit Freuden sagt Dank dem Vater, der euch tüchtig gemacht hat zu dem Erbteil der Heiligen im Licht.
26.01.2017	Donnerstag		Jona 2,3	Ich rief zu dem HERRN in meiner Angst, und er antwortete mir.	Johannes 6,37	/Jesus spricht:/ Wer zu mir kommt, den werde ich nicht hinausstoßen.
27.01.2017	Freitag		2.Samuel 2,26	Abner rief Joab zu: Soll denn das Schwert ohne Ende fressen? Weißt du nicht, dass daraus am Ende nur Jammer kommen wird?	Matthäus 26,52	/Jesus sprach:/ Stecke dein Schwert an seinen Ort! Denn wer das Schwert nimmt, der wird durchs Schwert umkommen.
28.01.2017	Samstag		Psalm 51,4	Wasche mich rein von meiner Missetat, und reinige mich von meiner Sünde.	Epheser 2,4-5	Gott, der reich ist an Barmherzigkeit, hat in seiner großen Liebe, mit der er uns geliebt hat, auch uns, die wir tot waren in den Sünden, mit Christus lebendig gemacht.
29.01.2017	Sonntag	4. Sonntag nach Epiphanias	Psalm 71,17	Gott, du hast mich von Jugend auf gelehrt, und noch jetzt verkündige ich deine Wunder.	1.Timotheus 1,12	Ich danke unserm Herrn Christus Jesus, der mich stark gemacht und für treu erachtet hat.
30.01.2017	Montag		Haggai 2,8	Mein ist das Silber, und mein ist das Gold, spricht der HERR Zebaoth.	Lukas 12,33.34	Macht euch Geldbeutel, die nicht altern, einen Schatz, der niemals abnimmt, im Himmel. Denn wo euer Schatz ist, da wird auch euer Herz sein.
31.01.2017	Dienstag		Psalm 102,28	Gott, du bleibst, wie du bist, und deine Jahre nehmen kein Ende.	Offenbarung 1,8	Ich bin das A und das O, spricht Gott der Herr, der da ist und der da war und der da kommt, der Allmächtige.
01.02.2017	Mittwoch		Psalm 31,8	Ich freue mich und bin fröhlich über deine Güte, dass du mein Elend ansiehst und kennst die Not meiner Seele.	Johannes 16,24	Bittet, so werdet ihr empfangen, dass eure Freude vollkommen sei.
02.02.2017	Donnerstag		Jesaja 35,6	Es werden Wasser in der Wüste hervorbrechen und Ströme im dürren Lande.	Offenbarung 22,17	Wen dürstet, der komme; wer da will, der nehme das Wasser des Lebens umsonst.
03.02.2017	Freitag		Psalm 34,3	Meine Seele soll sich rühmen des HERRN, dass es die Elenden hören und sich freuen.	Philipper 4,4-5	Freuet euch in dem Herrn allewege, und abermals sage ich: Freuet euch! Eure Güte lasst kund sein allen Menschen! Der Herr ist nahe!
04.02.2017	Samstag		Sprüche 29,25	Menschenfurcht bringt zu Fall; wer sich aber auf den HERRN verlässt, wird beschützt.	1.Petrus 3,13-14	Wer wird euch etwas antun, wenn sich euer Eifer auf das Gute richtet? Doch auch wenn ihr um der Gerechtigkeit willen leiden müsst – selig seid ihr.
05.02.2017	Sonntag	Letzter Sonntag nach Epiphanias	Psalm 14,2	Der HERR schaut vom Himmel auf die Menschenkinder, dass er sehe, ob jemand klug sei und nach Gott frage.	2.Petrus 3,18	Wachset in der Gnade und Erkenntnis unseres Herrn und Heilands Jesus Christus.
06.02.2017	Montag		5.Mose 8,12.14	Wenn du nun gegessen hast und satt bist und schöne Häuser erbaust und darin wohnst, dann hüte dich, dass dein Herz sich nicht überhebt und du den HERRN, deinen Gott, vergisst.	1.Korinther 4,7	Was hast du, das du nicht empfangen hast? Wenn du es aber empfangen hast, was rühmst du dich dann, als hättest du es nicht empfangen?
07.02.2017	Dienstag		Jeremia 27,5	Ich habe die Erde gemacht und Menschen und Tiere, die auf Erden sind, durch meine große Kraft und meinen ausgereckten Arm und gebe sie, wem ich will.	Jakobus 1,17	Alle gute Gabe und alle vollkommene Gabe kommt von oben herab, von dem Vater des Lichts, bei dem keine Veränderung ist noch Wechsel von Licht und Finsternis.
08.02.2017	Mittwoch		Maleachi 3,2	Wer wird aber den Tag seines Kommens ertragen können, und wer wird bestehen, wenn er erscheint?	1.Korinther 1,7-8	Ihr wartet nur auf die Offenbarung unseres Herrn Jesus Christus. Der wird euch auch fest machen bis ans Ende, dass ihr untadelig seid am Tag unseres Herrn Jesus Christus.
09.02.2017	Donnerstag		Psalm 65,6	Erhöre uns nach der wunderbaren Gerechtigkeit, Gott, unser Heil.	Matthäus 7,8	Wer da bittet, der empfängt; und wer da sucht, der findet; und wer da anklopft, dem wird aufgetan.
10.02.2017	Freitag		Jesaja 65,19	Ich will mich freuen über mein Volk. Man soll in ihm nicht mehr hören die Stimme des Weinens noch die Stimme des Klagens.	Römer 12,12	Seid fröhlich in Hoffnung.
11.02.2017	Samstag		Hesekiel 37,27	Meine Wohnung soll unter ihnen sein, und ich will ihr Gott sein, und sie sollen mein Volk sein.	Johannes 1,14	Das Wort ward Fleisch und wohnte unter uns, und wir sahen seine Herrlichkeit, eine Herrlichkeit als des eingeborenen Sohnes vom Vater, voller Gnade und Wahrheit.
12.02.2017	Sonntag	Septuagesimae (70 Tage vor Ostern)	Jesaja 55,5	Ihr werdet Völker rufen, die ihr nicht kennt; und Völker, die euch nicht kennen, werden begierig zu euch kommen, wenn sie sehen, was ich an euch tue.	Lukas 13,29	Es werden kommen von Osten und von Westen, von Norden und von Süden, die zu Tisch sitzen werden im Reich Gottes.
13.02.2017	Montag		Psalm 90,8	Unsre Missetaten stellst du vor dich, unsre unerkannte Sünde ins Licht vor deinem Angesicht.	Lukas 8,17	Es ist nichts verborgen, was nicht offenbar werde, auch nichts geheim, was nicht bekannt werde und an den Tag komme.
14.02.2017	Dienstag		Nehemia 9,6	HERR, du bist’s allein, du hast gemacht den Himmel und aller Himmel Himmel mit ihrem ganzen Heer, die Erde und alles, was darauf ist, die Meere und alles, was darinnen ist.	Römer 11,36	Von ihm und durch ihn und zu ihm sind alle Dinge. Ihm sei Ehre in Ewigkeit!
15.02.2017	Mittwoch		Jesaja 55,1	Wohlan, alle, die ihr durstig seid, kommt her zum Wasser!	Lukas 6,17-18	Um Jesus war eine große Schar seiner Jünger und eine große Menge des Volkes aus ganz Judäa und Jerusalem und aus Tyrus und Sidon, am Meer gelegen, die gekommen waren, ihn zu hören und von ihren Krankheiten geheilt zu werden; und die von unreinen Geistern umgetrieben wurden, die wurden gesund.
16.02.2017	Donnerstag		Psalm 103,14	Er weiß, was für ein Gebilde wir sind; er gedenkt daran, dass wir Staub sind.	Johannes 14,19	/Jesus spricht:/ Ich lebe und ihr sollt auch leben.
17.02.2017	Freitag		Jesaja 40,27	Warum sprichst du denn, Jakob, und du, Israel, sagst: »Mein Weg ist dem HERRN verborgen, und mein Recht geht vor meinem Gott vorüber?«	Hebräer 10,35	Werft euer Vertrauen nicht weg, welches eine große Belohnung hat.
18.02.2017	Samstag		Jesaja 65,1	Ich ließ mich suchen von denen, die nicht nach mir fragten, ich ließ mich finden von denen, die mich nicht suchten.	1.Petrus 2,9-10	Gott hat euch berufen von der Finsternis in sein wunderbares Licht; die ihr einst nicht sein Volk wart, nun aber Gottes Volk seid, und einst nicht in Gnaden wart, nun aber in Gnaden seid.
19.02.2017	Sonntag	Sexagesimae (60 Tage vor Ostern)	5.Mose 30,9	Der HERR wird sich wieder über dich freuen, dir zugut, wie er sich über deine Väter gefreut hat.	2.Timotheus 1,5	/Paulus schreibt an Timotheus:/ Ich erinnere mich an den ungeheuchelten Glauben in dir, der zuvor schon gewohnt hat in deiner Großmutter Lois und in deiner Mutter Eunike; ich bin aber gewiss, auch in dir.
20.02.2017	Montag		1.Mose 9,13	Gott sprach: Meinen Bogen habe ich gesetzt in die Wolken; der soll das Zeichen sein des Bundes zwischen mir und der Erde.	Kolosser 1,23	Bleibt im Glauben, gegründet und fest, und weicht nicht von der Hoffnung des Evangeliums, das ihr gehört habt und das gepredigt ist allen Geschöpfen unter dem Himmel.
21.02.2017	Dienstag		Jesaja 40,26	Hebt eure Augen in die Höhe und seht! Wer hat all dies geschaffen? Er führt ihr Heer vollzählig heraus und ruft sie alle mit Namen.	Kolosser 1,16	In ihm ist alles geschaffen, was im Himmel und auf Erden ist, das Sichtbare und das Unsichtbare.
22.02.2017	Mittwoch		Jesaja 29,14	Ich will auch fernerhin mit diesem Volke wunderbar verfahren, wunderbar und wundersam, und die Weisheit seiner Weisen wird zunichte werden.	Lukas 1,16-17	/Der Engel sprach von Johannes:/ Er wird viele der Israeliten zu dem Herrn, ihrem Gott, bekehren. Und er wird vor ihm hergehen im Geist und in der Kraft des Elia, zu bekehren die Herzen der Väter zu den Kindern und die Ungehorsamen zu der Klugheit der Gerechten, zuzurichten dem Herrn ein Volk, das wohl vorbereitet ist.
23.02.2017	Donnerstag		Psalm 51,12	Schaffe in mir, Gott, ein reines Herz und gib mir einen neuen, beständigen Geist.	Lukas 15,18	/Der Sohn im Gleichnis sprach:/ Ich will mich aufmachen und zu meinem Vater gehen.
24.02.2017	Freitag		Jesaja 63,9	Der HERR erlöste sie, weil er sie liebte und Erbarmen mit ihnen hatte. Er nahm sie auf und trug sie allezeit von alters her.	1.Petrus 2,25	Ihr irrtet umher wie Schafe, doch jetzt seid ihr zurückgekehrt zum Hirten, zum Beschützer eurer Seelen.
25.02.2017	Samstag		Psalm 73,25	Wenn ich nur dich habe, so frage ich nichts nach Himmel und Erde.	1.Petrus 1,8	Jesus Christus habt ihr nicht gesehen und habt ihn doch lieb.
26.02.2017	Sonntag	Estomihi (Sei mir ein starker Fels! Psalm 31,3)	Nehemia 9,6	HERR, du machst alles lebendig und das himmlische Heer betet dich an.	Johannes 1,4	In ihm war das Leben, und das Leben war das Licht der Menschen.
27.02.2017	Montag		Psalm 33,4	Des HERRN Wort ist wahrhaftig, und was er zusagt, das hält er gewiss.	Matthäus 5,17	/Jesus spricht:/ Ihr sollt nicht meinen, dass ich gekommen bin, das Gesetz oder die Propheten aufzulösen; ich bin nicht gekommen aufzulösen, sondern zu erfüllen.
28.02.2017	Dienstag		Psalm 33,22	Deine Güte, HERR, sei über uns, wie wir auf dich hoffen.	Lukas 10,20	/Jesus spricht:/ Freut euch, dass eure Namen im Himmel geschrieben sind.
01.03.2017	Mittwoch		2.Mose 33,20	/Der Herr sprach zu Mose:/ Mein Angesicht kannst du nicht sehen; denn kein Mensch wird leben, der mich sieht.	Hebräer 11,1-2	Es ist aber der Glaube eine feste Zuversicht dessen, was man hofft, und ein Nichtzweifeln an dem, was man nicht sieht. In diesem Glauben haben die Alten Gottes Zeugnis empfangen.
02.03.2017	Donnerstag		Psalm 42,3	Meine Seele dürstet nach Gott, nach dem lebendigen Gott. Wann werde ich dahin kommen, dass ich Gottes Angesicht schaue?	Römer 8,23-24	Auch wir selbst, die wir den Geist als Erstlingsgabe haben, seufzen in uns selbst und sehnen uns nach der Kindschaft, der Erlösung unseres Leibes. Denn wir sind gerettet auf Hoffnung hin.
03.03.2017	Freitag		1.Könige 8,24	/Salomo betete:/ So hast du an deinem Diener, meinem Vater David, gehandelt. Der heutige Tag ist Zeuge dafür, dass du dein Versprechen gehalten hast.	1.Petrus 2,3	Ihr habt schon geschmeckt, dass der Herr freundlich ist.
04.03.2017	Samstag		Psalm 106,4	HERR, gedenke meiner nach der Gnade, die du deinem Volk verheißen hast; erweise an uns deine Hilfe.	1.Timotheus 1,16	/Paulus schreibt:/ Mir ist Barmherzigkeit widerfahren, dass Christus Jesus an mir als Erstem alle Geduld erweise, zum Vorbild denen, die an ihn glauben sollten zum ewigen Leben.
05.03.2017	Sonntag	Invokavit (Er ruft mich an, darum will ich ihn erhören. Psalm 91,15)	Amos 8,11-12	Siehe, es kommt die Zeit, spricht Gott der HERR, dass ich einen Hunger ins Land schicken werde, nicht einen Hunger nach Brot oder Durst nach Wasser, sondern nach dem Wort des HERRN, es zu hören; dass sie hin und her laufen und des HERRN Wort suchen und doch nicht finden werden.	Johannes 6,68-69	/Simon Petrus sprach:/ Herr, wohin sollen wir gehen? Du hast Worte des ewigen Lebens; und wir haben geglaubt und erkannt: Du bist der Heilige Gottes.
06.03.2017	Montag		Rut 1,16	Rut sprach: Bedränge mich nicht, dass ich dich verlassen und von dir umkehren sollte. Wo du hingehst, da will ich auch hingehen; wo du bleibst, da bleibe ich auch. Dein Volk ist mein Volk, und dein Gott ist mein Gott.	Epheser 2,19	So seid ihr nun nicht mehr Gäste und Fremdlinge, sondern Mitbürger der Heiligen und Gottes Hausgenossen.
07.03.2017	Dienstag		Psalm 147,1	Lobet den HERRN! Denn unsern Gott loben, das ist ein köstlich Ding.	Epheser 5,19	Ermuntert einander mit Psalmen und Lobgesängen und geistlichen Liedern, singt und spielt dem Herrn in eurem Herzen.
08.03.2017	Mittwoch		Psalm 42,12	Was betrübst du dich, meine Seele, und bist so unruhig in mir? Harre auf Gott; denn ich werde ihm noch danken, dass er meines Angesichts Hilfe und mein Gott ist.	Johannes 16,20	Eure Traurigkeit soll in Freude verwandelt werden.
09.03.2017	Donnerstag		Psalm 18,31	Der HERR ist ein Schild allen, die ihm vertrauen.	2.Thessalonicher 3,3	Der Herr ist treu; der wird euch stärken und bewahren vor dem Bösen.
10.03.2017	Freitag		1.Könige 3,11-12	Gott sprach zu Salomo: Weil du weder um langes Leben bittest noch um Reichtum noch um deiner Feinde Tod, sondern um Verstand, auf das Recht zu hören, siehe, so tue ich nach deinen Worten.	Matthäus 7,24	/Jesus spricht:/ Wer meine Rede hört und tut sie, der gleicht einem klugen Mann, der sein Haus auf Fels baute.
11.03.2017	Samstag		2.Samuel 22,19-20	Der HERR ward mein Halt. Er führte mich hinaus ins Weite.	2.Korinther 3,17	Wo der Geist des Herrn ist, da ist Freiheit.
12.03.2017	Sonntag	Reminiszere (Gedenke, HERR, an deine Barmherzigkeit! Psalm 25,6)	Jeremia 6,16	Fragt nach den Wegen der Vorzeit, welches der gute Weg sei, und wandelt darin, so werdet ihr Ruhe finden für eure Seele!	Hebräer 6,12	Werdet Nachfolger derer, die durch Glauben und Geduld die Verheißungen ererben.
13.03.2017	Montag		1.Samuel 2,30	/Der HERR spricht:/ Wer mich ehrt, den will ich auch ehren; wer aber mich verachtet, der soll wieder verachtet werden.	Johannes 13,13	/Jesus spricht:/ Ihr nennt mich Meister und Herr und sagt es mit Recht, denn ich bin’s auch.
14.03.2017	Dienstag		Jesaja 25,4	HERR, du bist der Armen Schutz gewesen in der Trübsal, eine Zuflucht vor dem Ungewitter, ein Schatten vor der Hitze, wenn die Tyrannen wüten.	Römer 8,35.37	Wer will uns scheiden von der Liebe Christi? Trübsal oder Angst oder Verfolgung oder Hunger oder Blöße oder Gefahr oder Schwert? Aber in dem allen überwinden wir weit durch den, der uns geliebt hat.
15.03.2017	Mittwoch		Psalm 119,148	Ich wache auf, wenn’s noch Nacht ist, nachzusinnen über dein Wort.	Lukas 2,19	Maria behielt alle diese Worte und bewegte sie in ihrem Herzen.
16.03.2017	Donnerstag		Jeremia 15,18	Warum nimmt mein Leiden kein Ende? Warum will meine Wunde nicht heilen? Ich setze meine ganze Hoffnung auf dich; aber du lässt mich im Stich wie ein Bach, der im Sommer versiegt!	1.Korinther 13,12	Jetzt sehen wir alles in einem Spiegel, in rätselhafter Gestalt, dann aber von Angesicht zu Angesicht.
17.03.2017	Freitag		Psalm 86,11	Weise mir, HERR, deinen Weg, dass ich wandle in deiner Wahrheit.	Matthäus 4,21-22	Jesus sah zwei Brüder, Jakobus, den Sohn des Zebedäus, und Johannes, seinen Bruder, im Boot mit ihrem Vater Zebedäus, wie sie ihre Netze flickten. Und er rief sie. Sogleich verließen sie das Boot und ihren Vater und folgten ihm nach.
18.03.2017	Samstag		Psalm 119,19	Ich bin ein Gast auf Erden.	Philipper 3,20	Wir sind Bürger im Himmel; woher wir auch erwarten den Heiland, den Herrn Jesus Christus.
19.03.2017	Sonntag	Okuli (Meine Augen sehen stets auf den HERRN. Psalm 25,15)	5.Mose 4,31	Der HERR, dein Gott, ist ein barmherziger Gott; er wird dich nicht verlassen noch verderben.	Philipper 1,6	/Paulus schreibt:/ Ich bin darin guter Zuversicht, dass der in euch angefangen hat das gute Werk, der wird’s auch vollenden bis an den Tag Christi Jesu.
20.03.2017	Montag		Psalm 16,6	Das Los ist mir gefallen auf liebliches Land; mir ist ein schönes Erbteil geworden.	2.Korinther 9,8	Gott kann machen, dass alle Gnade unter euch reichlich sei, damit ihr in allen Dingen allezeit volle Genüge habt und noch reich seid zu jedem guten Werk.
21.03.2017	Dienstag		Jesaja 53,3	Er war der Allerverachtetste und Unwerteste, voller Schmerzen und Krankheit.	Lukas 23,25	Pilatus ließ den los, der wegen Aufruhr und Mord ins Gefängnis geworfen war, um welchen sie baten; aber Jesus übergab er ihrem Willen.
22.03.2017	Mittwoch		Daniel 3,33	Wie groß sind Gottes Zeichen und wie mächtig seine Wunder! Sein Reich ist ein ewiges Reich, und seine Herrschaft währet für und für.	Lukas 12,32	Fürchte dich nicht, du kleine Herde! Denn es hat eurem Vater wohlgefallen, euch das Reich zu geben.
23.03.2017	Donnerstag		Hesekiel 36,36	Die Nationen, die dann rings um euch übrig geblieben sind, werden erkennen, dass ich, der HERR, aufgebaut habe, was niedergerissen war, bepflanzt habe, was verwüstet war.	Lukas 2,30-32	/Simeon betet:/ Meine Augen haben deinen Heiland gesehen, das Heil, das du bereitet hast vor allen Völkern, ein Licht zur Erleuchtung der Heiden und zur Herrlichkeit deines Volkes Israel.
24.03.2017	Freitag		Jesaja 11,4	Er wird mit Gerechtigkeit richten die Armen und rechtes Urteil sprechen den Elenden im Lande.	Lukas 6,20	/Jesus spricht:/ Selig seid ihr Armen; denn das Reich Gottes ist euer.
25.03.2017	Samstag		Jesaja 41,4	Wer ruft die Geschlechter von Anfang her? Ich bin’s, der HERR, der Erste und bei den Letzten noch derselbe.	Epheser 1,20-21	Gott hat Christus von den Toten auferweckt und eingesetzt zu seiner Rechten im Himmel über alle Reiche, Gewalt, Macht, Herrschaft und jeden Namen, der angerufen wird, nicht allein in dieser Welt, sondern auch in der zukünftigen.
26.03.2017	Sonntag	Lätare (Freuet euch mit Jerusalem! Jesaja 66,10)	Jeremia 31,17	Es gibt Hoffnung auf Zukunft für dich. Spruch des HERRN.	Johannes 9,8	Die Nachbarn und die, die den Blinden früher als Bettler gesehen hatten, sprachen: Ist das nicht der Mann, der dasaß und bettelte?
27.03.2017	Montag		Psalm 121,3	Der HERR wird deinen Fuß nicht gleiten lassen, und der dich behütet, schläft nicht.	Matthäus 14,31	Jesus streckte die Hand aus und ergriff Petrus und sprach zu ihm: Du Kleingläubiger, warum hast du gezweifelt?
28.03.2017	Dienstag		1.Samuel 10,7	Tu, was dir vor die Hand kommt; denn Gott ist mit dir.	Kolosser 3,17	Alles, was ihr tut mit Worten oder mit Werken, das tut alles im Namen des Herrn Jesus und dankt Gott, dem Vater, durch ihn.
29.03.2017	Mittwoch		Klagelieder 3,24	Der HERR ist mein Teil, spricht meine Seele, darum will ich auf ihn hoffen.	Römer 5,2	Durch Jesus Christus haben wir den Zugang im Glauben zu dieser Gnade, in der wir stehen, und rühmen uns der Hoffnung der zukünftigen Herrlichkeit, die Gott geben wird.
30.03.2017	Donnerstag		5.Mose 13,1	/Mose sprach:/ Alles, was ich euch gebiete, das sollt ihr halten und danach tun. Du sollst nichts dazutun und nichts davontun.	Matthäus 19,17	/Jesus spricht:/ Willst du zum Leben eingehen, so halte die Gebote.
31.03.2017	Freitag		Psalm 89,10	Du herrschest über das ungestüme Meer, du stillest seine Wellen, wenn sie sich erheben.	Lukas 8,24	Die Jünger traten zu Jesus und weckten ihn auf und sprachen: Meister, Meister, wir kommen um! Da stand er auf und bedrohte den Wind und die Wogen des Wassers, und sie legten sich und es ward eine Stille.
01.04.2017	Samstag		3.Mose 22,31	Haltet meine Gebote und tut danach; ich bin der HERR.	1.Johannes 5,3	Das ist die Liebe zu Gott, dass wir seine Gebote halten; und seine Gebote sind nicht schwer.
02.04.2017	Sonntag	Judika (Gott, schaffe mir Recht! Psalm 43,1)	Jesaja 48,10	Siehe, ich habe dich geprüft im Glutofen des Elends.	2.Korinther 4,11	/Paulus schreibt:/ Wir, die wir leben, werden immerdar in den Tod gegeben um Jesu willen, auf dass auch das Leben Jesu offenbar werde an unserm sterblichen Fleisch.
03.04.2017	Montag		1.Könige 17,16	Das Mehl im Krug ging nicht aus, und der Ölkrug wurde nicht leer, nach dem Wort des HERRN, das dieser durch Elia gesprochen hatte.	Lukas 11,3	Gib uns unser täglich Brot Tag für Tag.
